Deletions-1610_B01_s21.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s22.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s23.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s24.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s25.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s26.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_B01_s2.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s3.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s4.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s5.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s6.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s7.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s8.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s9.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B02_s10.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s11.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s12.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s13.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s14.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s15.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s16.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s17.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s18.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s19.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s1.TIF	0	93	183	272	362	452	543	633	
Deletions-1610_B02_s20.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s21.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s22.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s23.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B02_s24.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B02_s25.TIF	0	93	183	272	362	452	542	632	
Deletions-1610_B02_s26.TIF	0	93	183	272	362	452	542	632	
Deletions-1610_B02_s2.TIF	0	93	183	272	362	452	543	633	
